gene_name	WT	cKO	WT_cpm	cKO_cpm	log2FC
Podxl2	409	1122	36.864721254936406	35.393227591071316	-0.05718430365027854
Pibf1	1379	3786	124.29450027031123	119.42848454527272	-0.057146421508626935
Plekhg5	212	581	19.108364073463367	18.32750911801465	-0.0571399966736553
Zfp472	47	141	4.236288261569708	4.447812023476877	0.057132403171403195
Psmc2	193	575	17.395822010275612	18.13824052127095	0.05708005737835602
Uhrf1bp1l	922	2742	83.10335696100577	86.49574871186947	0.05704953386214109
Amz2	229	682	20.64063855105241	21.513530496533544	0.0570492436986202
Igbp1	229	682	20.64063855105241	21.513530496533544	0.0570492436986202
Hmgb1	1455	3995	131.14466852306228	126.02134066517817	-0.057047317133460916
Hspa13	83	248	7.481104802346508	7.823101998739471	0.057033751588982023
Mlxip	591	1622	53.269071544419106	51.16561065304605	-0.0570311802768473
Ppp1r13b	1108	3042	99.8682424216859	95.95917854905431	-0.05702264339489036
Gnptab	970	2663	87.42977901537483	84.00371218807746	-0.0570064372720885
Cops2	465	1276	41.91221365170031	40.25112157415954	-0.0569549800386744
E2f1	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Rasgrp4	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Fam216b	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Dnaaf3	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Tent5d	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Gm13416	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Selenok-ps1	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Gm37457	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Zim3	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Gm49163	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
ENSMUSG00000120152	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
ENSMUSG00000121172	7	18	0.6309365495954885	0.5678057902310907	-0.05695379746374364
Klf4	10	31	0.901337927993555	0.9778877498424339	0.05694558441346841
Gas1	10	31	0.901337927993555	0.9778877498424339	0.05694558441346841
Tmprss9	10	31	0.901337927993555	0.9778877498424339	0.05694558441346841
Pyroxd2	10	31	0.901337927993555	0.9778877498424339	0.05694558441346841
Nkx6-3	10	31	0.901337927993555	0.9778877498424339	0.05694558441346841
Gm4756	10	31	0.901337927993555	0.9778877498424339	0.05694558441346841
B4gat1	46	138	4.146154468770353	4.353177725105028	0.056900788656801086
Il1rapl1	18649	55431	1680.905101915181	1748.5579310166438	0.05689412885467198
Rptor	2456	7301	221.36859511521712	230.30833747095517	0.05686421648490019
Ccnd2	90	246	8.112041351941995	7.760012466491572	-0.05684137130157834
Rbfox3	5374	14761	484.3790025037365	465.6322927556183	-0.05682554800784248
Rnf6	153	456	13.790470298301393	14.384413352520964	0.05680150392809804
Gm10863	802	2202	72.28730182508312	69.46157500493675	-0.05672652716867792
Tmem229b	454	1246	40.9207419309074	39.30477859044105	-0.056713353705882985
Nup214	743	2040	66.96940804992114	64.35132289285694	-0.056669117859148965
Bard1	45	135	4.056020675970998	4.25854342673318	0.05666087694521604
Gm47352	45	135	4.056020675970998	4.25854342673318	0.05666087694521604
Gimap6	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
Erich2	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
