dataset	pathway	direction	padj	source
Valassina2022	INTERMEDIATE FILAMENT ORGANIZATION	up	0.022021564073171962	GO_BP_RNA
Valassina2022	KERATINIZATION	up	0.03759872251743118	GO_BP_RNA
Valassina2022	REGULATION OF DEFENSE RESPONSE TO BACTERIUM	up	0.010279383825811958	GO_BP_RNA
Valassina2022	REGULATION OF RENAL SYSTEM PROCESS	up	4.406441669334784e-6	GO_BP_RNA
Valassina2022	AXONEME ASSEMBLY	down	0.0026063389739931437	GO_BP_RNA
Valassina2022	CILIUM MOVEMENT	down	0.013856953473295585	GO_BP_RNA
Valassina2022	CILIUM ORGANIZATION	down	4.90921245742526e-4	GO_BP_RNA
Valassina2022	CILIUM OR FLAGELLUM DEPENDENT CELL MOTILITY	down	0.02687004467119747	GO_BP_RNA
Valassina2022	MICROTUBULE BASED MOVEMENT	down	0.037408901372476946	GO_BP_RNA
Valassina2022	MICROTUBULE BUNDLE FORMATION	down	5.72652928400206e-4	GO_BP_RNA
Valassina2022	REGULATION OF SYNAPTIC TRANSMISSION GLUTAMATERGIC	down	0.02687004467119747	GO_BP_RNA
Happ2023	ACIDIC AMINO ACID TRANSPORT	up	0.01599005435493841	GO_BP_RNA
Happ2023	ACTION POTENTIAL	up	0.005908365794135781	GO_BP_RNA
Happ2023	ADENYLATE CYCLASE INHIBITING G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY	up	0.0028439235788358564	GO_BP_RNA
Happ2023	ADENYLATE CYCLASE MODULATING G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY	up	0.005918529214719834	GO_BP_RNA
Happ2023	AMINO ACID ACTIVATION	down	0.005567025392192607	GO_BP_RNA
Happ2023	AROMATIC AMINO ACID TRANSPORT	down	0.016600590829474897	GO_BP_RNA
Happ2023	ASSOCIATIVE LEARNING	up	0.03159695921719049	GO_BP_RNA
Happ2023	ATTACHMENT OF SPINDLE MICROTUBULES TO KINETOCHORE	down	0.0023470905246262917	GO_BP_RNA
Happ2023	BLASTOCYST DEVELOPMENT	down	0.021974511850856904	GO_BP_RNA
Happ2023	BLASTOCYST FORMATION	down	0.021294631030115266	GO_BP_RNA
Happ2023	BRANCHED CHAIN AMINO ACID TRANSPORT	down	0.029802423299459407	GO_BP_RNA
Happ2023	B CELL ACTIVATION	down	0.03416634684201752	GO_BP_RNA
Happ2023	CALCIUM ION TRANSMEMBRANE TRANSPORT	up	0.013336306901683592	GO_BP_RNA
Happ2023	CALCIUM MEDIATED SIGNALING	up	4.7158058900937945e-4	GO_BP_RNA
Happ2023	CARDIAC CONDUCTION	up	0.009057894820465201	GO_BP_RNA
Happ2023	CATECHOLAMINE SECRETION	up	0.012017045462215962	GO_BP_RNA
Happ2023	CELLULAR RESPONSE TO OXYGEN LEVELS	down	0.029266954745386202	GO_BP_RNA
Happ2023	CELLULAR RESPONSE TO RADIATION	down	0.028895322905783977	GO_BP_RNA
Happ2023	CELLULAR RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN	down	3.3656834459028787e-4	GO_BP_RNA
Happ2023	CELLULAR RESPONSE TO UNFOLDED PROTEIN	down	0.001238649188133534	GO_BP_RNA
Happ2023	CELLULAR RESPONSE TO UV B	down	0.04271824627835159	GO_BP_RNA
Happ2023	CELL CYCLE CHECKPOINT SIGNALING	down	4.4597120110787095e-4	GO_BP_RNA
Happ2023	CELL CYCLE G1 S PHASE TRANSITION	down	0.01703237162062296	GO_BP_RNA
Happ2023	CELL CYCLE G2 M PHASE TRANSITION	down	2.996309877827329e-4	GO_BP_RNA
Happ2023	CELL JUNCTION ASSEMBLY	up	0.016310025216781338	GO_BP_RNA
Happ2023	CENTROMERE COMPLEX ASSEMBLY	down	0.01703237162062296	GO_BP_RNA
Happ2023	CEREBROSPINAL FLUID CIRCULATION	up	0.029266954745386202	GO_BP_RNA
Happ2023	CHEMICAL SYNAPTIC TRANSMISSION POSTSYNAPTIC	up	0.0049107596271080215	GO_BP_RNA
Happ2023	CHROMOSOME CONDENSATION	down	0.005918529214719834	GO_BP_RNA
Happ2023	CHROMOSOME LOCALIZATION	down	8.242752531255659e-5	GO_BP_RNA
Happ2023	CHROMOSOME SEGREGATION	down	1.1044801002103159e-10	GO_BP_RNA
Happ2023	CHROMOSOME SEPARATION	down	1.7710756033275797e-5	GO_BP_RNA
Happ2023	CYTOPLASMIC TRANSLATION	down	1.5161189292930413e-15	GO_BP_RNA
Happ2023	DEVELOPMENT OF PRIMARY SEXUAL CHARACTERISTICS	down	0.03416634684201752	GO_BP_RNA
Happ2023	DNA BIOSYNTHETIC PROCESS	down	0.013798920010752641	GO_BP_RNA
Happ2023	DNA RECOMBINATION	down	4.973347213144803e-5	GO_BP_RNA
Happ2023	DNA REPLICATION	down	1.9822554527053376e-5	GO_BP_RNA
Happ2023	DNA TEMPLATED DNA REPLICATION	down	0.0015947485377386373	GO_BP_RNA
Happ2023	DNA TEMPLATED TRANSCRIPTION ELONGATION	down	0.03332324077185596	GO_BP_RNA
Happ2023	DNA TEMPLATED TRANSCRIPTION INITIATION	down	6.66751746107709e-4	GO_BP_RNA
Happ2023	DOUBLE STRAND BREAK REPAIR	down	1.5585090798976285e-4	GO_BP_RNA
Happ2023	EMBRYONIC ORGAN DEVELOPMENT	down	0.00518905061964793	GO_BP_RNA
Happ2023	EMBRYONIC PLACENTA DEVELOPMENT	down	0.012573394409237756	GO_BP_RNA
Happ2023	EPIGENETIC REGULATION OF GENE EXPRESSION	down	0.0012881454518339	GO_BP_RNA
Happ2023	EPINEPHRINE TRANSPORT	up	0.028148285852043937	GO_BP_RNA
Happ2023	EPITHELIAL TO MESENCHYMAL TRANSITION	down	0.024217671297649603	GO_BP_RNA
Happ2023	ERAD PATHWAY	down	0.011954920799173149	GO_BP_RNA
Happ2023	ERYTHROCYTE HOMEOSTASIS	down	0.0048598826030927765	GO_BP_RNA
Happ2023	ER NUCLEUS SIGNALING PATHWAY	down	0.021916713820336824	GO_BP_RNA
Happ2023	ESTABLISHMENT OF ORGANELLE LOCALIZATION	down	2.996309877827329e-4	GO_BP_RNA
Happ2023	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ORGANELLE	down	0.007209035130617876	GO_BP_RNA
Happ2023	ESTABLISHMENT OF RNA LOCALIZATION	down	0.004164007844828563	GO_BP_RNA
Happ2023	EXPLORATION BEHAVIOR	up	0.0025091348717137876	GO_BP_RNA
Happ2023	GLAND DEVELOPMENT	down	6.711716854120011e-4	GO_BP_RNA
Happ2023	GLUTAMATE RECEPTOR SIGNALING PATHWAY	up	8.514400879605832e-5	GO_BP_RNA
Happ2023	G PROTEIN COUPLED GLUTAMATE RECEPTOR SIGNALING PATHWAY	up	0.005002555220448157	GO_BP_RNA
Happ2023	HEART PROCESS	up	0.028015584382083215	GO_BP_RNA
Happ2023	HEMATOPOIETIC STEM CELL PROLIFERATION	down	0.03416634684201752	GO_BP_RNA
Happ2023	HEPATICOBILIARY SYSTEM DEVELOPMENT	down	0.012017045462215962	GO_BP_RNA
Happ2023	HETEROCHROMATIN FORMATION	down	0.04409962821005649	GO_BP_RNA
Happ2023	HETEROCHROMATIN ORGANIZATION	down	0.04487247698560261	GO_BP_RNA
Happ2023	HOMEOSTASIS OF NUMBER OF CELLS	down	0.04096588993959325	GO_BP_RNA
Happ2023	INHIBITORY SYNAPSE ASSEMBLY	up	0.03478099757303321	GO_BP_RNA
Happ2023	INNATE IMMUNE RESPONSE IN MUCOSA	down	0.03781026951332278	GO_BP_RNA
Happ2023	INNER CELL MASS CELL PROLIFERATION	down	0.047364844434029045	GO_BP_RNA
Happ2023	INTEGRATED STRESS RESPONSE SIGNALING	down	0.011376913694661124	GO_BP_RNA
Happ2023	INTERLEUKIN 4 PRODUCTION	down	0.005918529214719834	GO_BP_RNA
Happ2023	INTRINSIC APOPTOTIC SIGNALING PATHWAY	down	5.154934502804355e-6	GO_BP_RNA
Happ2023	INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR	down	0.019303411532871406	GO_BP_RNA
Happ2023	INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS	down	0.012430978158686504	GO_BP_RNA
Happ2023	IN UTERO EMBRYONIC DEVELOPMENT	down	1.8343683576252867e-4	GO_BP_RNA
Happ2023	IONOTROPIC GLUTAMATE RECEPTOR SIGNALING PATHWAY	up	0.012862446557421399	GO_BP_RNA
Happ2023	KINETOCHORE ASSEMBLY	down	0.04566925274170473	GO_BP_RNA
Happ2023	LEARNING	up	0.0011981198111229874	GO_BP_RNA
Happ2023	LIGAND GATED ION CHANNEL SIGNALING PATHWAY	up	0.016699772639536713	GO_BP_RNA
Happ2023	LONG TERM SYNAPTIC POTENTIATION	up	0.013798920010752641	GO_BP_RNA
Happ2023	L LEUCINE TRANSPORT	down	0.010704858130487873	GO_BP_RNA
Happ2023	MACROMOLECULE METHYLATION	down	7.705592367506055e-4	GO_BP_RNA
Happ2023	MAINTENANCE OF CELL NUMBER	down	0.03159695921719049	GO_BP_RNA
Happ2023	MALE SEX DIFFERENTIATION	down	0.012427123582886905	GO_BP_RNA
Happ2023	MATERNAL PROCESS INVOLVED IN FEMALE PREGNANCY	down	0.04409962821005649	GO_BP_RNA
Happ2023	MATURATION OF 5 8S RRNA	down	0.01431865334449097	GO_BP_RNA
Happ2023	MATURATION OF LSU RRNA	down	0.04409962821005649	GO_BP_RNA
Happ2023	MATURATION OF SSU RRNA	down	2.996309877827329e-4	GO_BP_RNA
Happ2023	MATURATION OF SSU RRNA FROM TRICISTRONIC RRNA TRANSCRIPT SSU RRNA 5 8S RRNA LSU RRNA	down	0.021718754669381626	GO_BP_RNA
Happ2023	MEIOTIC CELL CYCLE	down	0.020543142012203097	GO_BP_RNA
Happ2023	MEIOTIC CELL CYCLE PROCESS	down	0.033446030077978514	GO_BP_RNA
Happ2023	MEMBRANELESS ORGANELLE ASSEMBLY	down	2.66066197696385e-7	GO_BP_RNA
Happ2023	MEMBRANE REPOLARIZATION	up	0.007816708893787617	GO_BP_RNA
Happ2023	METAPHASE CHROMOSOME ALIGNMENT	down	1.1848813735904839e-4	GO_BP_RNA
Happ2023	METHYLATION	down	7.304055307137738e-4	GO_BP_RNA
Happ2023	MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS	down	8.517175394301044e-5	GO_BP_RNA
