cell	UMAP1	UMAP2	cell_type	cluster	genotype	Scn2a	dataset	organism	channel	expr	sample
08_48_23	-10.069787858804366	2.5583095963685785	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_48_26	9.397302747885089	-0.8402955118925299	Oligodendrocytes	5	cKO	1.2845419959629156	Bae2025	mouse	SCN2A	1.2845419959629156	PN36_3_cKO
08_48_75	-5.113626359780929	-11.484027344396802	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_48_80	1.5547920476592567	3.8092089112489496	Neurons	7	cKO	1.3595897912353037	Bae2025	mouse	SCN2A	1.3595897912353037	PN36_3_cKO
08_49_20	-0.08236437924732903	3.626677792856005	Neurons	7	cKO	1.3298171740594238	Bae2025	mouse	SCN2A	1.3298171740594238	PN36_3_cKO
08_49_53	-2.784471153100631	8.429231208154468	Neurons	8	cKO	1.8713052299430943	Bae2025	mouse	SCN2A	1.8713052299430943	PN36_3_cKO
08_49_58	9.502012373129228	-1.4702281538755622	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_49_83	0.06693142763743659	8.172140639611987	Neurons	8	cKO	1.6784598321556474	Bae2025	mouse	SCN2A	1.6784598321556474	PN36_3_cKO
08_50_20	-4.985941766580245	-11.945033508947583	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_50_29	-4.600692151864669	-12.105125862768384	Astrocytes	4	cKO	1.683439409325996	Bae2025	mouse	SCN2A	1.683439409325996	PN36_3_cKO
08_50_32	9.030246854940753	-3.075609404257032	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_50_46	2.584115625540116	-5.212037045171949	Oligodendrocytes	3	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_50_71	-6.6730931986175985	-12.810720879247876	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_50_76	8.166919828573564	-1.6743393723280158	Oligodendrocytes	5	cKO	1.2486709457768626	Bae2025	mouse	SCN2A	1.2486709457768626	PN36_3_cKO
08_51_12	-1.4643373478256676	8.216072600671557	Neurons	8	cKO	2.1182031294442436	Bae2025	mouse	SCN2A	2.1182031294442436	PN36_3_cKO
08_51_23	0.76370656601558	-6.202997643163893	Oligodendrocytes	3	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_51_80	0.03428867570529242	3.2853622849672113	Neurons	7	cKO	1.7214933738393066	Bae2025	mouse	SCN2A	1.7214933738393066	PN36_3_cKO
08_51_81	-6.798954843362472	-12.190670448950025	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_51_87	-5.521925329049727	-11.894378143957349	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_52_14	-1.336658834298751	8.855100196191577	Neurons	8	cKO	2.1735117788259277	Bae2025	mouse	SCN2A	2.1735117788259277	PN36_3_cKO
08_52_23	0.875235558668473	-6.1088456694395274	Oligodendrocytes	3	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_52_52	9.233529211202958	-2.317618567159864	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_52_55	0.4782913338340308	-6.284982163122389	Astrocytes	3	cKO	1.3212244173147152	Bae2025	mouse	SCN2A	1.3212244173147152	PN36_3_cKO
08_53_09	0.5249183189071205	3.3076806481569085	Neurons	7	cKO	1.4926623956481553	Bae2025	mouse	SCN2A	1.4926623956481553	PN36_3_cKO
08_53_19	7.536747575918534	-3.972047526052686	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_53_56	0.6273398410476234	4.140217822381762	Neurons	7	cKO	1.2191924056032457	Bae2025	mouse	SCN2A	1.2191924056032457	PN36_3_cKO
08_53_63	-0.4132428344391797	8.418314498254565	Neurons	8	cKO	1.6690273044075443	Bae2025	mouse	SCN2A	1.6690273044075443	PN36_3_cKO
08_53_65	6.271357656637528	-4.749751526525709	Oligodendrocytes	6	cKO	1.4403488632230173	Bae2025	mouse	SCN2A	1.4403488632230173	PN36_3_cKO
08_54_01	-0.831688611587188	5.887075942346361	Neurons	8	cKO	1.517458480043283	Bae2025	mouse	SCN2A	1.517458480043283	PN36_3_cKO
08_54_10	-3.3104611624084925	-0.9079914275915352	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_54_23	9.335263372579911	-3.104409176519605	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_54_64	1.0006420623458412	-6.043315369299147	Oligodendrocytes	3	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
